### Date= 20030602 
TradeTime  TradePrice  TradeVol 
9:30:08 89 89800
9:30:09 89 3400
9:30:10 89 3800
9:30:11 89 4400
9:30:12 88.974 1400
9:30:15 89 900
9:30:16 89 300
9:30:17 89 2300
9:30:18 89 100
9:30:21 89 300
9:30:22 89 13500
9:30:23 88.978 1000
9:30:24 89 3900
9:30:25 89 4700
9:30:26 89 400
9:30:28 88.9 1400
9:30:31 88.91 100
9:30:32 88.9666666666667 1300
9:30:33 88.98875 2000
9:30:34 89 12800
9:30:35 88.994705882353 7900
9:30:36 89 2700
9:30:38 88.9 1000
9:30:43 88.85 1000
9:30:45 88.85 100
9:30:48 88.86 100
9:30:53 88.97 1400
9:30:54 88.986 5000
9:30:56 88.85 1000
9:30:57 88.86 1300
9:30:58 89 1400
9:31:01 88.95 100
9:31:07 88.9 200
9:31:09 88.91 1800
9:31:15 88.94 2900
9:31:26 88.98 1600
9:31:28 88.98 100
9:31:30 88.9 300
9:31:31 88.98 100
9:31:32 88.94 1000
9:31:33 88.98 1000
9:31:37 88.9 300
9:31:38 88.965 300
9:31:39 89 1000
9:31:40 88.91 200
9:31:46 88.91 600
9:31:48 88.97 100
9:31:49 88.97 100
9:31:52 88.8 5000
9:31:55 88.8666666666667 2000
9:31:58 88.9 100
9:32:00 88.9 100
9:32:01 88.9 100
9:32:03 88.85 300
9:32:09 88.92 1100
9:32:13 88.9 700
9:32:19 88.91 600
9:32:23 88.87 200
9:32:24 88.95 1000
9:32:33 88.93 200
9:32:36 88.93 1200
9:32:37 88.94 300
9:32:40 88.955 1600
9:32:45 88.97 1000
9:32:53 88.92 1000
9:33:01 88.9 100
9:33:05 88.82 1000
9:33:08 88.81 1500
9:33:09 88.82 1000
9:33:10 88.81 4600
9:33:11 88.82 800
9:33:15 88.8 800
9:33:18 88.81 16000
9:33:21 88.75 800
9:33:23 88.8062 800
9:33:25 88.775 2200
9:33:26 88.76 800
9:33:28 88.8 1400
9:33:30 88.9 100
9:33:35 88.8 200
9:33:39 88.835 1300
9:33:40 88.89 1000
9:33:43 88.87 800
9:33:45 88.85 1100
9:33:51 88.81 1600
9:33:56 88.805 700
9:33:57 88.81 300
9:33:58 88.8 100
9:33:59 88.81 3200
9:34:00 88.805 200
9:34:02 88.81 700
9:34:05 88.81 500
9:34:07 88.8 600
9:34:12 88.78 200
9:34:15 88.79 800
9:34:19 88.77 300
9:34:23 88.79 900
9:34:24 88.795 200
9:34:26 88.8 1500
9:34:27 88.8 600
9:34:28 88.8 2700
9:34:31 88.81 17600
9:34:32 88.815 300
9:34:33 88.818 200
9:34:35 88.819 200
9:34:36 88.819 100
9:34:41 88.81 200
9:34:42 88.88 400
9:34:43 88.88 900
9:34:44 88.8365 500
9:34:48 88.839 100
9:34:49 88.83 700
9:35:01 88.835 1000
9:35:03 88.84 400
9:35:06 88.84 100
9:35:08 88.82 700
9:35:11 88.82 3100
9:35:16 88.775 2000
9:35:19 88.79 900
9:35:23 88.79 200
9:35:31 88.8 200
9:35:35 88.73 8200
9:35:36 88.77 200
9:35:38 88.72 3800
9:35:40 88.75 1000
9:35:48 88.77 100
9:35:49 88.65 1300
9:35:51 88.7 200
9:35:53 88.75 1000
9:35:56 88.7 300
9:35:58 88.745 1200
9:36:00 88.66 1800
9:36:02 88.66 500
9:36:03 88.75 100
9:36:05 88.66 2000
9:36:10 88.705 1500
9:36:15 88.76 1300
9:36:20 88.71 400
9:36:30 88.78 100
9:36:33 88.8 1600
9:36:35 88.8 2600
9:36:38 88.8 300
9:36:42 88.83 100
9:36:45 88.8 2100
9:36:49 88.8 2000
9:36:51 88.84 200
9:36:54 88.811 500
9:36:59 88.8 1000
9:37:04 88.81 200
9:37:08 88.69 1700
9:37:11 88.69 100
9:37:12 88.7 1000
9:37:16 88.7 300
9:37:30 88.57 6500
9:37:34 88.57 800
9:37:35 88.615 6100
9:37:42 88.58 1100
9:37:43 88.64 500
9:37:46 88.58 500
9:38:02 88.7 2500
9:38:11 88.75 2400
9:38:14 88.74 100
9:38:27 88.81 300
9:38:30 88.89 7100
9:38:37 88.725 6000
9:38:39 88.88 1000
9:38:43 88.86 500
9:38:45 88.8 300
9:38:46 88.8 2300
9:38:50 88.78 4200
