Indirizzo;Latitudine;Longitudine;Attiva;ZonaDec
Arco Della Pace;9,17246;45,475671;1;1
Bastioni di Porta Nuova 23;9,192273;45,478576;1;1
Corso di Porta Romana 116;9,199076;45,454095;1;1
Corso Vittorio Emanuele;9,195012;45,465225;1;1
Galleria Ciro Fontana 1;9,191297;45,46565;1;1
Galleria Vittorio Emanuele;9,189885;45,465609;1;1
Giardini Bazlen;9,198169;45,454618;1;1
Giardini viale Montello 5;9,181281;45,48072;1;1
Largo Cairoli;9,182257;45,468194;1;1
Largo Treves 1;9,186616;45,475248;1;1
Piazza Affari;9,183272;45,464728;1;1
Piazza dei Mercanti;9,187529;45,464649;1;1
Piazza Beccaria / Piazza Fontana;9,195464;45,464335;1;1
Piazza Cadorna;9,176668;45,468188;1;1
Piazza Castello;9,180421;45,469639;1;1
Piazza Cordusio;9,186339;45,465469;1;1
Piazza della Scala;9,19019;45,466857;1;1
Piazza Diaz;9,189883;45,462393;1;1
Piazza Duomo  lato Via Mercanti;9,188759;45,464612;1;1
Piazza Duomo  lato Via Orefici;9,188766;45,463735;1;1
Piazza Duomo / Arcivescovado;9,192475;45,463796;1;1
Piazza Duomo / Corso Vittorio Emanuele;9,192497;45,464618;1;1
Piazza Duomo / Palazzo Reale;9,190681;45,463587;1;1
Piazza Duomo / Via San Raffaele;9,191294;45,464738;1;1
Piazza Duomo 10-14 (palazzo Reale);9,190866;45,463339;0;1
Piazza Liberty;9,194101;45,465511;1;1
Piazza San Babila;9,197407;45,466415;1;1
Via Azario 3;9,168458;45,459959;1;1
Via Bergamini 5;9,19399;45,461982;0;1
Via Bernardino Luini 2;9,179108;45,465688;0;1
Via Borgonuovo 23;9,189949;45,472222;0;1
Via Dante;9,18416;45,466894;1;1
Via De Amicis 17;9,179462;45,457974;1;1
Via Dei Fabbri 9;9,180139;45,458009;1;1
Via Giusti Giuseppe 42;9,173348;45,479751;1;1
Via Larga 12;9,192191;45,461528;0;1
Via Manin 2/a;9,196533;45,474577;1;1
Via Marsala 8;9,1874;5,478887;1;1
Via Mercanti;9,187702;45,465025;1;1
Via Orefici;9,18786;45,464035;1;1
Via Palestro 12;9,198595;45,473037;1;1
Via Palestro 14/16;9,200148;45,472845;0;1
Via Rovello 2;9,18468;45,466406;0;1
Via San Marco 45;9,189575;45,479377;1;1
Via Sant'Andrea 6;9,196391;45,468751;0;1
Via Scaldasole 3/A;9,1796;45,454313;1;1
Via Silvio Pellico 8;9,189259;45,465639;0;1
Via Statuto 17;9,185398;45,476654;1;1
Via Strehler 2;9,183072;45,472871;1;1
Via Vico 18;9,169362;45,461344;1;1
Viale Alemagna 14;9,173374;45,472116;0;1
Viale Gabriele D'Annunzio 15;9,176752;45,453389;1;1
Viale Gadio 2;9,180992;45,473708;0;1
Viale Giorgio Byron 2;9,178288;45,475385;0;1
Viale Miguel de Cervantes 1;9,175246;45,475457;0;1
Viale regina Margherita - Rotonda Besana;9,205361;45,459873;0;1
Piazza Marengo;9,182006;45,473129;1;1
Via Torino/ Piazza Santa Maria Beltrade;9,186888;45,462463;1;1
Corso di Porta Ticinese/Carrobbio;9,181333;45,460187;1;1
Corso di Porta Ticinese/Urbano III;9,1811;45,45903;1;1
Corso di Porta Ticinese/Pio IV;9,18107;45,458629;1;1
Corso di Porta Ticinese/Pioppette;9,18107;45,457888;1;1
Parco Basiliche/Piazza Vetra;9,182772;45,458306;1;1
Parco Basiliche/Wittgens;9,182885;45,45764;1;1
Parco Basiliche/M,Delle Armi;9,182907;45,457309;1;1
Corso di Porta Ticinese/M,delle Armi Nord;9,180236;45,45697;1;1
Corso di Porta Ticinese/Vetere;9,180713;45,456172;1;1
Corso di Porta Ticinese/Museo Diocesano;9,180562;45,454866;1;1
Corso di Porta Ticinese/Sant'Eustorgio;9,180423;45,453933;1;1
Corso di Porta Ticinese/Santa Croce;9,180332;45,453246;1;1
Parco Basiliche/M,delle Armi Sud;9,182751;45,45665;1;1
Parco delle Basiliche/Banfi;9,182328;45,45573;1;1
Parco delle Basiliche/Santa Croce;9,182421;45,454853;1;1
D'Annunzio/Panzeri;9,178438;45,453015;1;1
D'Annunzio/Arena;9,176673;45,453546;1;1
D'Annunzio/Ronzoni;9,175997;45,454185;1;1
Cantore/D'Annunzio;9,174289;45,455418;1;1
Cantore/Corso Genova;9,173379;45,455856;1;1
Darsena/Gorizia/Alzaia Naviglio Grande;9,176775;45,45239;1;6
Darsena/Gorizia/Vigevano;9,175858;45,45287;1;6
Darsena/Gorizia fronte civico 16;9,174482;45,453864;1;6
Gorizia/Mortara;9,173351;45,454486;1;6
Colombo/Coni Zugna;9,172393;45,455201;1;6
Colombo/Alessandria;9,17147;45,454336;1;6
Stazione di Porta Genova;9,170038;45,453401;1;6
Valenza/Casale;9,169936;45,452283;1;6
Vigevano Scuola/Corsico;9,173471;45,452938;1;6
Vigevano/Alessandria;9,172189;45,453098;1;6
Ripa di Porta Ticinese civico 15 (circa);9,175525;45,451822;1;6
Alzaia Naviglio Grande Scuola/Lavandaia;9,173911;45,4517;1;6
Ripa di Porta Ticinese civico 45/Argelati;9,171411;45,45097;1;6
Alzaia Naviglio Grande/Casale;9,171191;45,451154;1;6
Alzaia Naviglio Grande civico 66/68;9,169773;45,450853;1;6
Alzaia Naviglio Grande/Valenza;9,167967;45,450452;1;6
Alzaia Naviglio Pavese/Gorizia;9,177867;45,45221;1;6
Ascanio Sforza/Bettinelli;9,177819;45,451848;1;5
Ascanio Sforza civico 11;9,177623;45,450881;1;5
Ascanio Sforza civico 21;9,177891;45,450729;1;5
Ascanio Sforza/Lagrange;9,177486;45,448932;1;5
Alzaia Naviglio Pavese/Borsi;9,176832;45,447571;1;6
San Gottardo/XXIV Maggio;9,180179;45,451967;1;5
San Gottardo civico 7;9,180059;45,451015;1;5
San Gottardo civico 19;9,179945;45,450076;1;5
San Gottardo/Lagrange;9,179661;45,448798;1;5
San Gottardo/Tabacchi;9,179447;45,447285;1;5
XXIV Maggio/Chiosco ATM;9,179693;45,452082;0;5
XXIV Maggio/Col di Lana;9,180705;45,452402;0;5
