Anno_evento;Luogo_matrimonio;Rito;Stato_civile_marito;Stato_civile_moglie;Cittadinanza_marito;Cittadinanza_moglie;Eta_marito;Eta_moglie;Numerosità;Residenza_moglie;Residenza_marito;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;33;35;1;Italia;Italia;;;;2003;;;2004;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;34;30;1;Italia;Italia;;;;tot matrimoni ;2567;;;2779
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;34;32;1;Italia;Italia;;;;cattolici;715;;;784
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;34;33;1;Italia;Italia;;;;civili;1852;;;1995
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;34;34;5;Italia;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;34;37;1;Italia;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;35;28;1;Italia;Italia;;;Numerosita pari a 1;477;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;35;31;2;Italia;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;35;32;2;Italia;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;35;33;2;Italia;Italia;;;;Matrimoni tra italiani;1575;;;1695
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;35;34;1;Italia;Italia;;;;(cittadinanze italiana);;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;35;35;1;Italia;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;35;37;1;Italia;Italia;;;;Matrimoni tra cui 1 cittadino;992;;;1084
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;36;28;1;Italia;Italia;;;;non italiano;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;36;31;2;Italia;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;36;35;1;Italia;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;37;25;1;Italia;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;37;30;1;Italia;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;37;31;1;Italia;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;37;32;2;Italia;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;37;33;2;Italia;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;37;36;1;Italia;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;37;42;1;Italia;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;38;32;1;Italia;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;38;37;1;Italia;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;38;38;1;Italia;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;39;29;1;Italia;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;39;33;1;Italia;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;39;34;1;Italia;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;39;37;1;Italia;Italia;;;;;;;;
