Cittadinanza;Genere;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
Apolide;Maschi;53;49;48;44;0;0;35;35;33;31;30;29;27;26;25;19;9;8;9;10;9;10;11;12;13;11;11;11
Arabia Saudita;Femmine;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1
Arabia Saudita;Maschi;5;5;5;5;4;0;4;4;4;4;5;4;5;5;5;5;1;1;2;3;3;3;3;3;2;2;2;2
Area Ex-Urss;Femmine;22;33;36;49;97;0;129;152;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Area Ex-Urss;Maschi;24;26;27;31;54;0;65;77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Argentina;Femmine;173;188;197;242;221;307;287;287;283;275;278;293;290;290;322;323;221;282;299;315;298;276;287;314;329;353;337;257
Argentina;Maschi;203;213;214;259;191;294;285;282;282;266;267;279;287;295;304;331;197;224;253;256;254;249;256;268;289;308;289;223
Armenia;Femmine;0;0;0;0;0;0;0;0;0;0;1;3;3;5;7;7;6;5;8;9;10;11;11;18;22;25;29;26
Armenia;Maschi;0;0;0;0;0;0;0;0;0;0;1;1;3;4;5;7;6;7;13;13;15;14;15;18;20;21;25;23
Australia;Femmine;48;49;52;47;32;0;59;58;63;61;66;70;71;77;86;90;52;64;69;74;73;79;77;80;87;88;90;63
Australia;Maschi;37;39;41;41;21;0;50;53;55;63;63;65;65;70;70;65;28;31;37;40;41;42;44;46;58;60;62;48
Austria;Femmine;300;300;292;299;174;287;281;296;297;296;296;325;324;324;331;324;211;211;219;214;208;217;231;227;225;240;226;189
Austria;Maschi;242;247;237;232;108;219;214;211;205;203;196;208;205;203;212;194;113;115;122;120;117;124;134;138;136;138;120;92
Azerbaigian;Femmine;0;0;0;0;0;0;0;0;0;0;0;1;0;2;11;10;9;6;12;14;14;12;12;13;14;14;15;15
Azerbaigian;Maschi;0;0;0;0;0;0;0;0;1;1;1;1;1;3;8;8;7;3;8;8;9;10;14;13;10;11;10;9
Bahama;Femmine;1;1;1;1;0;0;1;1;2;2;2;2;2;2;2;2;0;0;0;0;0;0;0;1;1;2;2;2
Bahama;Maschi;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bangladesh;Femmine;3;3;4;5;6;0;9;14;25;37;62;125;158;189;239;272;291;334;445;556;603;654;847;943;1101;1234;1350;1504
Bangladesh;Maschi;11;13;14;16;87;0;309;317;312;321;416;587;655;931;1262;1254;997;1659;1823;1891;1938;2022;2473;2920;3637;4754;5334;5883
Barbados;Femmine;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;2;1
Barbados;Maschi;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0
Belgio;Femmine;143;143;146;149;83;0;163;165;176;188;193;200;203;212;224;221;129;145;164;156;165;172;177;179;181;188;165;135
Belgio;Maschi;109;106;100;103;48;0;107;119;126;124;146;150;157;164;184;183;101;101;112;112;112;116;121;127;129;131;111;106
Belize;Femmine;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
Belize;Maschi;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Benin (Dahomey);Femmine;0;0;0;0;2;0;2;5;5;5;8;9;9;9;9;13;4;3;6;6;8;7;6;8;8;10;13;14
Benin (Dahomey);Maschi;1;1;1;1;1;0;5;7;8;7;7;7;10;11;10;13;6;8;9;10;9;6;8;8;11;16;13;15
Bhutan;Maschi;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1
Bielorussia;Femmine;0;0;0;0;0;0;0;0;1;2;3;4;3;5;7;14;17;32;52;65;70;74;89;111;147;189;207;229
Bielorussia;Maschi;0;0;0;0;0;0;0;0;0;0;0;0;1;3;5;4;5;7;8;13;14;14;16;19;22;28;30;36
Bolivia;Femmine;9;13;13;12;36;0;26;24;23;24;28;37;39;53;59;68;69;183;259;301;328;359;492;772;1099;1283;1346;1338
Bolivia;Maschi;8;6;6;8;25;0;26;22;20;19;23;29;32;44;49;51;43;118;152;182;202;223;295;434;596;745;809;852
Bosnia-Erzegovina;Femmine;0;0;0;0;0;0;2;21;55;67;74;84;88;104;119;129;82;95;105;116;117;117;122;118;112;152;149;141
Bosnia-Erzegovina;Maschi;0;0;0;0;0;0;2;20;55;70;79;88;93;115;122;120;78;102;114;120;129;125;121;123;116;138;133;129
Brasile;Femmine;212;248;281;378;368;567;628;677;740;777;854;1040;1056;1154;1244;1251;977;1214;1545;1607;1619;1621;1803;2007;2242;2472;2360;2007
Brasile;Maschi;155;178;190;243;200;333;394;419;433;424;493;629;651;710;791;811;553;748;1035;995;993;967;1064;1157;1256;1402;1325;981
Bulgaria;Femmine;39;42;44;46;44;0;86;96;97;117;134;185;212;275;305;320;280;405;457;493;559;637;720;838;895;1035;1006;970
Bulgaria;Maschi;42;48;47;47;35;0;61;70;83;96;123;170;192;271;321;329;279;414;458;480;520;556;604;652;675;751;698;579
Burkina Faso (Alto Volta);Femmine;0;0;1;1;3;0;0;3;6;8;8;13;12;12;14;15;15;18;18;16;16;13;17;17;17;16;16;19
Burkina Faso (Alto Volta);Maschi;0;1;3;4;1;0;6;10;10;12;15;21;19;19;17;18;18;19;20;25;24;27;33;30;26;42;34;35
Burundi;Femmine;0;3;3;3;5;0;6;5;6;6;10;15;14;16;15;14;10;10;11;10;9;8;8;6;6;6;6;6
Burundi;Maschi;7;7;7;6;3;0;6;7;10;9;7;8;8;12;11;11;5;5;5;6;6;5;5;5;5;5;5;5
Cambogia;Femmine;1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;2;0;0;1;0;0;1
Cambogia;Maschi;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;6;9;5;0;0;0;0;0;0
Camerun;Femmine;15;13;12;15;3;0;28;34;38;42;46;49;53;55;62;71;51;62;83;91;95;100;116;133;138;166;184;165
Camerun;Maschi;18;22;21;23;10;0;36;44;45;49;54;58;64;64;71;69;42;57;85;109;110;107;142;183;180;185;193;180
Canada;Femmine;63;65;66;67;46;0;76;79;95;95;96;106;110;118;122;121;66;73;86;87;88;94;97;103;100;117;114;85
Canada;Maschi;65;71;64;61;26;0;74;77;91;89;89;94;94;94;106;106;61;63;67;67;69;62;67;70;78;82;84;61
Capo Verde;Femmine;53;57;59;64;36;0;65;71;87;92;89;97;101;109;129;138;112;136;149;157;156;152;151;148;142;142;137;119
Capo Verde;Maschi;12;12;12;14;9;0;16;21;21;22;26;27;30;33;33;32;33;38;43;46;43;45;43;46;48;45;42;40
Ceca, Rep.;Femmine;0;0;0;0;0;0;0;0;0;106;111;117;118;119;134;140;85;98;118;126;136;140;153;156;167;185;170;140
Ceca, Rep.;Maschi;0;0;0;0;0;0;0;0;0;64;68;70;69;68;73;69;23;21;20;19;21;22;24;23;27;38;34;31
Cecoslovacchia;Femmine;46;51;60;60;46;0;76;93;106;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cecoslovacchia;Maschi;38;45;50;54;42;0;64;62;65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Centrafricana Rep.;Femmine;0;0;0;1;4;0;1;0;0;0;1;1;1;1;1;1;1;1;0;1;1;2;2;2;2;1;2;2
Centrafricana Rep.;Maschi;1;1;1;1;0;0;1;1;1;1;1;1;1;1;2;2;1;0;1;1;0;1;2;1;3;4;4;4
Ciad;Femmine;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;1;1;1;1;2;2;2;2;1;1
Ciad;Maschi;0;0;0;0;0;0;0;0;1;1;1;1;1;3;3;4;3;6;6;7;6;8;8;8;7;12;12;12
Cile;Femmine;68;74;83;87;77;0;127;126;131;132;146;159;162;174;190;177;125;139;149;156;160;161;172;186;205;231;227;188
Cile;Maschi;63;62;68;77;56;0;81;81;85;87;94;102;107;119;129;116;84;98;111;115;120;124;127;123;127;139;123;104
Cinese, Repubblica Popolare;Femmine;455;637;674;805;454;1171;1305;1396;1578;1743;2281;3225;3536;4064;4747;5103;4466;5456;6212;6641;6992;7250;8245;9173;10145;11769;12376;13021
Cinese, Repubblica Popolare;Maschi;614;871;920;1087;529;1622;1774;1888;1998;2135;2757;3706;3980;4611;5549;5844;4835;6073;6898;7398;7744;8009;8956;9773;10707;12198;12686;12907
Cipro;Femmine;10;11;14;14;6;0;14;16;16;17;17;17;19;19;19;16;4;4;5;6;6;6;10;10;11;15;17;16
Cipro;Maschi;28;28;30;31;11;0;30;31;31;29;29;30;31;32;36;35;5;6;5;4;4;4;5;5;6;7;6;8
Città del Vaticano;Femmine;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Colombia;Femmine;49;56;68;100;79;0;146;151;161;172;199;223;241;300;361;396;361;531;591;605;596;564;617;635;663;708;694;569
Colombia;Maschi;32;42;47;53;34;0;73;69;74;84;99;115;128;158;189;197;167;300;360;343;340;343;375;389;422;466;444;409
Comore;Femmine;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Comore;Maschi;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Congo;Femmine;5;5;5;5;8;0;25;10;11;13;13;10;11;16;29;37;37;51;57;56;62;58;56;50;51;55;51;35
Congo;Maschi;2;2;2;3;4;0;36;10;10;14;17;19;23;27;38;40;38;48;66;70;81;72;70;66;64;64;64;44
Congo, Rep. Dem. (Zaire);Femmine;6;3;4;7;10;0;0;20;19;28;33;37;37;39;41;41;28;33;39;40;40;42;51;53;54;53;51;54
Congo, Rep. Dem. (Zaire);Maschi;15;17;18;17;8;0;0;30;27;30;38;47;48;48;47;40;25;32;36;38;42;41;49;48;47;50;49;50
Corea, Rep. Pop. Dem. (Corea del Nord);Femmine;2;2;2;2;14;0;3;3;3;3;2;2;2;2;2;2;0;3;3;4;4;4;4;4;4;5;4;0
Corea, Rep. Pop. Dem. (Corea del Nord);Maschi;2;2;2;2;12;0;2;2;2;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
Corea, Repubblica (Corea del Sud);Femmine;90;98;105;124;85;0;178;2;248;276;300;341;355;377;419;429;230;249;281;290;297;312;339;347;377;410;441;344
Corea, Repubblica (Corea del Sud);Maschi;76;82;87;115;51;0;133;0;178;183;204;233;244;259;287;297;145;151;177;185;197;204;225;236;260;290;300;209
Costa d'Avorio;Femmine;12;12;13;17;13;0;38;42;50;61;75;94;97;95;103;98;87;91;97;93;88;96;111;120;118;126;121;117
Costa d'Avorio;Maschi;32;38;42;46;40;0;82;83;70;73;114;146;149;158;160;141;102;119;134;144;145;144;146;157;150;225;187;178
Costarica;Femmine;7;8;9;10;7;0;11;10;11;12;15;18;17;16;17;17;6;8;13;13;13;12;11;11;11;13;12;8
Costarica;Maschi;2;2;2;2;1;0;4;3;3;3;3;5;5;5;3;2;2;2;2;2;1;1;1;1;2;5;4;3
Croazia;Femmine;0;0;0;0;0;0;33;92;168;194;215;247;259;262;285;268;219;238;266;258;257;253;257;264;265;308;294;263
Croazia;Maschi;0;0;0;0;0;0;37;84;138;151;170;193;199;195;207;191;131;136;148;148;151;139;136;139;139;172;160;128
Cuba;Femmine;8;9;8;11;10;0;28;34;49;65;86;140;168;203;257;287;245;283;349;357;345;344;386;400;427;459;453;450
Cuba;Maschi;9;10;7;8;5;0;14;16;18;22;28;39;52;76;95;106;90;116;142;157;162;170;196;213;231;267;261;239
Danimarca;Femmine;41;48;55;56;39;0;84;90;103;107;120;127;126;138;133;125;70;72;74;71;72;75;81;91;95;94;93;66
Danimarca;Maschi;36;34;39;38;21;0;47;56;56;56;63;72;72;76;78;76;34;37;44;46;46;46;52;58;59;60;59;37
Dominica;Femmine;0;0;0;0;3;0;0;0;0;20;24;21;17;14;12;9;7;8;7;7;5;5;5;7;7;7;7;5
Dominica;Maschi;0;0;0;0;0;0;0;0;0;2;3;2;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0
Dominicana, Repubblica;Femmine;34;55;65;77;65;0;147;173;217;223;272;383;416;461;527;538;448;503;563;580;578;572;645;689;708;762;775;731
Dominicana, Repubblica;Maschi;7;9;10;20;21;0;35;38;48;51;80;134;148;180;208;226;201;220;244;262;269;272;335;358;399;447;464;459
Ecuador;Femmine;20;26;25;47;50;0;76;85;113;149;302;498;705;1295;1736;1998;2654;6252;7236;7430;7267;7139;7516;7869;8216;8520;8400;7717
Ecuador;Maschi;3;8;9;13;21;0;21;23;36;54;139;253;396;711;978;1159;1509;4266;5120;5250;5081;4998;5368;5673;6016;6389;6348;5807
Egitto;Femmine;766;911;1034;1196;854;1612;1884;2180;2348;2459;2621;3018;3272;3506;3856;4090;3636;4078;4817;5258;5555;5824;6638;7296;7885;8679;9204;9605
Egitto;Maschi;2401;2663;2795;3340;2080;4748;4950;5145;5125;5695;6818;8057;8570;9803;11725;11580;9384;14451;16175;16879;17379;17694;19200;21347;24114;27291;27869;25992
El Salvador;Femmine;332;375;379;453;291;583;645;712;780;796;872;1011;1053;1151;1244;1231;1131;1447;1577;1613;1599;1599;1718;2004;2401;2726;2839;2912
