"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 05, 2018","6,860.59","6,778.56","6,879.25","6,753.85","67.35M","0.73"
"Mar 02, 2018","6,811.04","6,661.91","6,820.37","6,645.03","202.00M","0.90"
"Mar 01, 2018","6,750.54","6,862.94","6,892.38","6,687.44","226.84M","-1.52"
"Feb 28, 2018","6,854.42","6,945.20","6,964.15","6,854.42","212.33M","-0.67"
"Feb 27, 2018","6,900.35","6,984.83","7,003.14","6,900.35","186.40M","-1.27"
"Feb 26, 2018","6,989.10","6,933.82","6,989.36","6,927.46","156.07M","1.34"
"Feb 23, 2018","6,896.60","6,816.43","6,897.53","6,789.02","154.36M","1.99"
"Feb 22, 2018","6,761.85","6,793.08","6,826.01","6,744.05","146.06M","0.04"
"Feb 21, 2018","6,759.26","6,808.60","6,879.47","6,759.22","167.24M","-0.30"
"Feb 20, 2018","6,779.69","6,742.15","6,838.00","6,740.48","170.31M","0.13"
"Feb 16, 2018","6,770.66","6,778.28","6,840.60","6,758.51","190.51M","-0.36"
"Feb 15, 2018","6,794.92","6,734.34","6,795.92","6,665.92","187.22M","1.80"
"Feb 14, 2018","6,675.03","6,523.26","6,684.15","6,520.39","197.23M","1.85"
"Feb 13, 2018","6,553.86","6,482.77","6,567.62","6,478.41","153.73M","0.46"
"Feb 12, 2018","6,523.85","6,477.04","6,565.28","6,424.30","228.35M","1.73"
"Feb 09, 2018","6,412.68","6,395.16","6,453.43","6,164.43","318.49M","1.69"
"Feb 08, 2018","6,306.10","6,595.81","6,606.05","6,304.18","277.35M","-4.19"
"Feb 07, 2018","6,582.02","6,632.98","6,716.25","6,581.38","226.58M","-1.26"
"Feb 06, 2018","6,665.98","6,378.60","6,673.41","6,370.48","320.31M","2.62"
"Feb 05, 2018","6,495.92","6,687.47","6,807.96","6,495.39","300.13M","-3.91"
"Feb 02, 2018","6,760.29","6,866.38","6,889.07","6,756.54","228.27M","-2.05"
"Feb 01, 2018","6,901.50","6,910.57","6,970.77","6,879.02","210.60M","-0.70"
"Jan 31, 2018","6,949.99","6,972.81","6,983.61","6,915.48","223.75M","0.28"
"Jan 30, 2018","6,930.73","6,910.39","6,958.79","6,894.63","179.24M","-0.82"
"Jan 29, 2018","6,988.31","7,000.68","7,020.64","6,974.70","178.73M","-0.49"
"Jan 26, 2018","7,022.97","6,956.66","7,022.97","6,941.48","199.02M","1.54"
"Jan 25, 2018","6,916.30","6,965.01","6,967.60","6,894.84","158.08M","-0.04"
"Jan 24, 2018","6,919.35","6,975.38","6,992.91","6,880.68","190.69M","-0.63"
"Jan 23, 2018","6,963.46","6,928.27","6,969.40","6,926.37","155.94M","0.83"
"Jan 22, 2018","6,906.28","6,829.55","6,906.28","6,822.85","169.01M","1.05"
"Jan 19, 2018","6,834.33","6,829.04","6,843.24","6,801.59","193.11M","0.34"
"Jan 18, 2018","6,811.38","6,804.59","6,826.79","6,784.72","152.95M","0.02"
"Jan 17, 2018","6,810.28","6,767.85","6,820.04","6,738.45","178.23M","1.09"
"Jan 16, 2018","6,737.14","6,807.85","6,835.79","6,719.11","196.08M","-0.32"
"Jan 12, 2018","6,758.54","6,699.32","6,763.98","6,695.52","160.68M","0.75"
"Jan 11, 2018","6,708.49","6,675.69","6,708.49","6,664.74","136.26M","0.69"
"Jan 10, 2018","6,662.66","6,640.66","6,663.51","6,619.35","153.38M","-0.23"
"Jan 09, 2018","6,677.94","6,692.87","6,696.12","6,658.27","146.93M","0.02"
"Jan 08, 2018","6,676.63","6,651.68","6,680.32","6,649.20","150.38M","0.35"
"Jan 05, 2018","6,653.29","6,613.12","6,654.98","6,605.03","152.65M","1.04"
"Jan 04, 2018","6,584.58","6,595.75","6,603.17","6,576.92","153.92M","0.13"
"Jan 03, 2018","6,575.80","6,520.03","6,579.25","6,519.26","170.11M","0.99"
"Jan 02, 2018","6,511.34","6,431.59","6,513.02","6,417.75","149.67M","1.80"
"Dec 29, 2017","6,396.42","6,439.90","6,442.53","6,396.42","131.70M","-0.70"
"Dec 28, 2017","6,441.42","6,449.52","6,452.07","6,432.68","77.62M","0.10"
"Dec 27, 2017","6,435.15","6,437.06","6,448.94","6,425.92","90.87M","0.03"
"Dec 26, 2017","6,433.16","6,427.32","6,438.24","6,407.99","93.22M","-0.50"
"Dec 22, 2017","6,465.17","6,462.55","6,467.83","6,449.00","114.35M","-0.12"
"Dec 21, 2017","6,472.69","6,481.08","6,501.52","6,467.78","143.80M","0.00"
"Dec 20, 2017","6,472.48","6,504.55","6,504.55","6,447.93","150.89M","-0.13"
"Dec 19, 2017","6,480.67","6,505.35","6,510.87","6,462.79","163.38M","-0.50"
"Dec 18, 2017","6,513.27","6,504.89","6,522.70","6,495.18","180.70M","0.73"
"Dec 15, 2017","6,466.32","6,405.15","6,470.92","6,405.03","453.90M","1.20"
"Dec 14, 2017","6,389.91","6,407.26","6,423.68","6,386.25","159.48M","-0.07"
"Dec 13, 2017","6,394.67","6,405.41","6,416.83","6,388.41","160.53M","0.17"
"Dec 12, 2017","6,383.65","6,389.47","6,403.50","6,371.69","146.18M","-0.16"
"Dec 11, 2017","6,393.89","6,351.24","6,394.43","6,347.91","147.88M","0.78"
"Dec 08, 2017","6,344.57","6,364.60","6,377.55","6,335.23","143.54M","0.45"
