year.to.maturity	yield
0.35890411	4.884
0.695890411	4.993
0.945205479	4.934
1.279452055	4.85
1.61369863	4.772
1.780821918	4.723
2.15890411	4.659
2.654794521	4.62
3.15890411	4.574
3.569863014	4.545
3.906849315	4.556
4.194520548	4.548
4.528767123	4.557
5.15890411	4.52
5.909589041	4.53
6.657534247	4.554
7.161643836	4.573
7.657534247	4.572
8.405479452	4.574
9.161643836	4.584
10.40821918	4.639
11.40821918	4.674
12.66027397	4.725
13.4109589	4.747
14.6630137	4.788
15.91506849	4.799
16.6630137	4.813
17.91780822	4.809
18.66575342	4.815
19.66575342	4.816
20.66575342	4.805
